,country,year,co2,AverageTemperature,population,share_global_co2,AverageTemperatureUncertainty,gdp,HDI,LandMaxTemperature,LandMinTemperature
428,Malaysia,1965,8.38,26.359,9526558.0,0.07,0.406,27746652904.0,0.24,14.268416666666667,2.841416666666666
429,Mali,1965,0.198,32.702000000000005,5568495.0,0.0,0.506,4385209216.0,0.07,14.268416666666667,2.841416666666666
430,Mauritania,1965,0.161,32.796,985907.0,0.0,0.521,1622810000.0,0.09,14.268416666666667,2.841416666666666
431,Mauritius,1965,0.304,21.196,753283.0,0.0,0.469,3949144856.0,0.3,14.268416666666667,2.841416666666666
432,Mexico,1965,75.168,24.8,44123863.0,0.66,0.456,258981943063.0,0.29,14.268416666666667,2.841416666666666
433,Morocco,1965,4.254,23.955,14230163.0,0.04,0.812,31254994188.0,0.15,14.268416666666667,2.841416666666666
434,Mozambique,1965,2.003,18.969,8039217.0,0.02,0.353,17873013238.0,0.1,14.268416666666667,2.841416666666666
435,Nepal,1965,0.18,22.577,10972912.0,0.0,0.777,11068378000.0,0.09,14.268416666666667,2.841416666666666
436,Netherlands,1965,100.404,15.142,12248333.0,0.89,0.449,191976456000.0,0.51,14.268416666666667,2.841416666666666
437,New Zealand,1965,13.685,6.073,2626649.0,0.12,0.5539999999999999,45787176400.0,0.55,14.268416666666667,2.841416666666666
438,Nicaragua,1965,0.78,26.672,2068379.0,0.01,0.669,7595000000.0,0.22,14.268416666666667,2.841416666666666
439,Niger,1965,0.092,32.214,3914118.0,0.0,0.7879999999999999,6472059360.0,0.06,14.268416666666667,2.841416666666666
440,Nigeria,1965,11.75,27.138,50127920.0,0.1,0.59,72336375685.0,0.11,14.268416666666667,2.841416666666666
441,Norway,1965,16.39,8.228,3724457.0,0.14,0.5760000000000001,51573115356.0,0.51,14.268416666666667,2.841416666666666
442,Oman,1965,0.026,32.598,625006.0,0.0,0.863,1138811616.0,0.12,14.268416666666667,2.841416666666666
443,Pakistan,1965,16.83,29.402,50917975.0,0.15,0.529,70661281260.0,0.13,14.268416666666667,2.841416666666666
444,Panama,1965,1.527,26.876,1314679.0,0.01,0.451,5504226000.0,0.32,14.268416666666667,2.841416666666666
445,Paraguay,1965,0.549,21.561,2172309.0,0.0,0.42,5694560192.0,0.3,14.268416666666667,2.841416666666666
446,Peru,1965,11.952,19.367,11711402.0,0.11,0.47,65696161700.0,0.26,14.268416666666667,2.841416666666666
447,Philippines,1965,13.965,27.233,30909997.0,0.12,0.464,86595482107.0,0.29,14.268416666666667,2.841416666666666
448,Poland,1965,246.981,16.717000000000002,31360903.0,2.18,0.518,188699592888.0,0.44,14.268416666666667,2.841416666666666
449,Portugal,1965,11.582,20.215,8862277.0,0.1,0.56,58086872550.0,0.31,14.268416666666667,2.841416666666666
450,Puerto Rico,1965,,26.226,2507537.0,,0.424,19526843000.0,0.43,14.268416666666667,2.841416666666666
451,Qatar,1965,6.287,34.45,73631.0,0.06,0.5660000000000001,2927665331.0,0.29,14.268416666666667,2.841416666666666
452,Romania,1965,78.637,18.113,19379575.0,0.69,0.4,43001849420.0,0.4,14.268416666666667,2.841416666666666
453,Russia,1965,1156.312,11.298,126503741.0,10.22,0.508,894393858924.0,0.47,14.268416666666667,2.841416666666666
454,Rwanda,1965,0.048,19.13,3235536.0,0.0,0.564,3339726720.0,0.12,14.268416666666667,2.841416666666666
455,Saudi Arabia,1965,4.216,33.736999999999995,4843632.0,0.04,0.662,46439224744.0,0.12,14.268416666666667,2.841416666666666
456,Senegal,1965,1.692,29.796,3682879.0,0.01,0.698,9019216503.0,0.11,14.268416666666667,2.841416666666666
457,Serbia,1965,21.344,18.567,7835085.0,0.19,0.504,36400860311.0,0.37,14.268416666666667,2.841416666666666
458,Sierra Leone,1965,0.282,25.88,2508226.0,0.0,0.502,3310124000.0,0.08,14.268416666666667,2.841416666666666
459,Singapore,1965,2.426,27.313,1877826.0,0.02,0.452,7530617900.0,0.36,14.268416666666667,2.841416666666666
460,South Africa,1965,128.14,9.41,19384838.0,1.13,0.43,112882726866.0,0.26,14.268416666666667,2.841416666666666
461,South Korea,1965,24.978,21.209,28895557.0,0.22,0.55,55039779351.5,0.28,14.268416666666667,2.841416666666666
462,Spain,1965,71.02,20.727,32146255.0,0.63,0.562,238067071620.0,0.41,14.268416666666667,2.841416666666666
463,Sri Lanka,1965,2.656,28.056,11110825.0,0.02,0.389,23850109650.0,0.3,14.268416666666667,2.841416666666666
464,Sudan,1965,2.223,30.618,8770094.0,0.02,0.357,14890949755.808,0.11,14.268416666666667,2.841416666666666
465,Sweden,1965,62.562,12.212,7745678.0,0.55,0.539,133326426000.0,0.51,14.268416666666667,2.841416666666666
466,Switzerland,1965,30.329,14.588,5812844.0,0.27,0.507,117686331787.5,0.5,14.268416666666667,2.841416666666666
467,Syria,1965,3.672,27.925,5373137.0,0.03,0.387,29814265044.0,0.22,14.268416666666667,2.841416666666666
468,Taiwan,1965,17.845,25.586,12901154.0,0.16,0.498,36829910000.0,0.35,14.268416666666667,2.841416666666666
469,Tanzania,1965,1.161,20.074,11634837.0,0.01,0.443,9401366304.0,0.12,14.268416666666667,2.841416666666666
470,Thailand,1965,7.44,27.219,31822656.0,0.07,0.468,66849224130.0,0.24,14.268416666666667,2.841416666666666
471,Togo,1965,0.132,25.895,1708631.0,0.0,0.5489999999999999,2326976000.0,0.12,14.268416666666667,2.841416666666666
472,Tunisia,1965,2.46,26.542,4547941.0,0.02,0.462,12030743345.0,0.19,14.268416666666667,2.841416666666666
473,Turkey,1965,27.353,20.186,30972996.0,0.24,0.501,111220449358.0,0.23,14.268416666666667,2.841416666666666
474,Uganda,1965,0.626,22.545,7986062.0,0.01,0.396,10419503148.0,0.14,14.268416666666667,2.841416666666666
475,United Arab Emirates,1965,0.022,34.355000000000004,149855.0,0.0,0.68,5997095590.0,0.25,14.268416666666667,2.841416666666666
476,United Kingdom,1965,622.112,12.758,54240855.0,5.5,0.52,844870750000.0,0.5,14.268416666666667,2.841416666666666
477,United States,1965,3399.342,17.768,199733679.0,30.04,0.4370000000000001,4156141170000.0,0.55,14.268416666666667,2.841416666666666
478,Uruguay,1965,5.516,15.048,2694537.0,0.05,0.436,20193111234.0,0.4,14.268416666666667,2.841416666666666
479,Venezuela,1965,60.73,24.505,9692281.0,0.54,0.513,130094794045.0,0.33,14.268416666666667,2.841416666666666
480,Vietnam,1965,13.15,26.869,37858947.0,0.12,0.374,52087199862.0,0.17,14.268416666666667,2.841416666666666
481,Zambia,1965,3.912,17.119,3570466.0,0.03,0.477,6752632000.0,0.17,14.268416666666667,2.841416666666666
482,Zimbabwe,1965,5.209,15.504,4471178.0,0.05,0.414,7346506496.0,0.18,14.268416666666667,2.841416666666666
483,Afghanistan,1970,1.67,25.226,11173654.0,0.01,0.287,15812232000.0,0.09,14.403250000000002,3.04275
484,Albania,1970,3.741,19.906,2150704.0,0.03,0.308,6888218728.0,0.34,14.403250000000002,3.04275
485,Algeria,1970,15.059,31.922,14464992.0,0.1,0.637,49945667910.0,0.19,14.403250000000002,3.04275
486,Angola,1970,3.578,19.214,5890360.0,0.02,0.403,15796654068.0,0.1,14.403250000000002,3.04275
487,Argentina,1970,82.648,7.957999999999998,23880564.0,0.55,0.325,278897361007.0,0.42,14.403250000000002,3.04275
488,Australia,1970,147.48,16.086000000000002,12793030.0,0.99,0.274,242644626560.0,0.54,14.403250000000002,3.04275
489,Austria,1970,50.632,15.376,7516238.0,0.34,0.3720000000000001,116016115182.0,0.52,14.403250000000002,3.04275
490,Bahamas,1970,2.569,27.377,169376.0,0.02,0.27,,0.43,14.403250000000002,3.04275
491,Bahrain,1970,2.59,33.062000000000005,212607.0,0.02,0.648,1325600634.0,0.3,14.403250000000002,3.04275
492,Bangladesh,1970,3.803,28.231,64232486.0,0.03,0.332,67600674396.0,0.13,14.403250000000002,3.04275
493,Barbados,1970,0.429,27.532,238895.0,0.0,0.334,2437083000.0,0.47,14.403250000000002,3.04275
494,Belgium,1970,125.49,17.88,9632179.0,0.84,0.265,163013749200.0,0.55,14.403250000000002,3.04275
495,Belize,1970,0.121,27.446,122184.0,0.0,0.484,,0.3,14.403250000000002,3.04275
496,Benin,1970,0.282,27.868,2912338.0,0.0,0.242,4082305842.0,0.11,14.403250000000002,3.04275
497,Bolivia,1970,2.484,18.603,4484004.0,0.02,0.316,15077030242.0,0.21,14.403250000000002,3.04275
498,Brazil,1970,93.648,24.056,95113265.0,0.63,0.281,443496716595.0,0.27,14.403250000000002,3.04275
499,Bulgaria,1970,61.174,18.673,8507541.0,0.41,0.276,64588678992.0,0.45,14.403250000000002,3.04275
500,Burkina Faso,1970,0.143,30.583,5624592.0,0.0,0.191,6300887076.0,0.08,14.403250000000002,3.04275
501,Burundi,1970,0.062,19.829,3479070.0,0.0,0.419,3145068309.0,0.11,14.403250000000002,3.04275
502,Cambodia,1970,1.154,27.706,6996576.0,0.01,0.267,7624957421.0,0.13,14.403250000000002,3.04275
503,Cameroon,1970,0.637,24.662,6519754.0,0.0,0.296,10527337145.0,0.16,14.403250000000002,3.04275
504,Canada,1970,341.177,9.824,21374326.0,2.29,0.365,417751981102.0,0.59,14.403250000000002,3.04275
505,Cape Verde,1970,0.037,24.748,268633.0,0.0,0.42,372565000.0,0.19,14.403250000000002,3.04275
506,Central African Republic,1970,0.209,25.707,1811157.0,0.0,0.284,2773212000.0,0.12,14.403250000000002,3.04275
507,Chad,1970,0.125,31.117,3643608.0,0.0,0.418,3279969440.0,0.08,14.403250000000002,3.04275
508,Chile,1970,24.636,5.273,9783134.0,0.17,0.36,76775332810.0,0.38,14.403250000000002,3.04275
509,China,1970,807.953,17.249000000000002,827601385.0,5.42,0.287,1144004370000.0,0.25,14.403250000000002,3.04275
510,Colombia,1970,28.37,24.614,21480064.0,0.19,0.268,105691073256.0,0.31,14.403250000000002,3.04275
511,Congo,1970,0.572,24.086,1326894.0,0.0,0.285,3048689568.0,0.19,14.403250000000002,3.04275
512,Costa Rica,1970,1.249,26.184,1847394.0,0.01,0.89,10385369632.0,0.38,14.403250000000002,3.04275
513,Cuba,1970,18.654,27.239,8712535.0,0.13,0.342,25423968000.0,0.39,14.403250000000002,3.04275
514,Cyprus,1970,1.703,24.096,613618.0,0.01,0.308,4050214000.0,0.38,14.403250000000002,3.04275
515,Denmark,1970,62.039,-5.492999999999999,4931239.0,0.42,0.746,99664395297.0,0.55,14.403250000000002,3.04275
516,Djibouti,1970,0.139,32.66,159662.0,0.0,0.606,859320000.0,0.12,14.403250000000002,3.04275
517,Dominican Republic,1970,3.105,26.67,4499722.0,0.02,0.207,11003814440.0,0.27,14.403250000000002,3.04275
518,Ecuador,1970,4.278,21.5,6069375.0,0.03,0.277,26934480610.0,0.29,14.403250000000002,3.04275
519,Egypt,1970,21.654,28.492,34513851.0,0.15,0.316,67114477974.0,0.18,14.403250000000002,3.04275
520,El Salvador,1970,1.428,25.749,3673066.0,0.01,0.327,12570427616.0,0.26,14.403250000000002,3.04275
521,Equatorial Guinea,1970,0.037,24.5,303986.0,0.0,0.287,522180000.0,0.18,14.403250000000002,3.04275
522,Eritrea,1970,,30.228,1310947.0,,0.424,,0.11,14.403250000000002,3.04275
523,Ethiopia,1970,1.652,24.36,28415080.0,0.01,0.37,28633734711.48,0.08,14.403250000000002,3.04275
524,Finland,1970,40.355,15.074000000000002,4612365.0,0.27,0.339,70319882662.0,0.51,14.403250000000002,3.04275
525,France,1970,459.523,19.017,50763921.0,3.08,0.245,944232666000.0,0.53,14.403250000000002,3.04275
526,Gabon,1970,2.081,23.606,589317.0,0.01,0.322,2874952873.0,0.21,14.403250000000002,3.04275
527,Gambia,1970,0.048,30.239,464404.0,0.0,0.45,689670000.0,0.09,14.403250000000002,3.04275
528,Germany,1970,1026.022,17.371000000000002,78578381.0,6.89,0.278,1343859724428.0,0.52,14.403250000000002,3.04275
529,Ghana,1970,2.622,26.969,8735493.0,0.02,0.283,19950905150.0,0.18,14.403250000000002,3.04275
530,Greece,1970,24.126,21.843000000000004,8663568.0,0.16,0.251,87048779400.0,0.44,14.403250000000002,3.04275
531,Guatemala,1970,2.296,25.123,5621794.0,0.02,0.312,24493392000.0,0.2,14.403250000000002,3.04275
532,Guinea,1970,0.791,26.154,4154606.0,0.01,0.379,2859895635.0,0.09,14.403250000000002,3.04275
533,Guyana,1970,1.579,25.932,704930.0,0.01,0.44,,0.33,14.403250000000002,3.04275
534,Haiti,1970,0.384,27.675,4676237.0,0.0,0.2,7115747000.0,0.14,14.403250000000002,3.04275
535,Honduras,1970,1.388,25.971,2716652.0,0.01,0.429,6600752406.0,0.22,14.403250000000002,3.04275
536,Hong Kong,1970,8.392,27.976,3848922.0,0.06,0.297,35354053695.75,0.37,14.403250000000002,3.04275
537,Hungary,1970,69.935,19.21,10366099.0,0.47,0.354,82851087060.0,0.45,14.403250000000002,3.04275
538,India,1970,181.899,28.263,555189797.0,1.22,0.229,748744000000.0,0.17,14.403250000000002,3.04275
539,Indonesia,1970,35.791,26.15,114793179.0,0.24,0.344,220830577278.2,0.2,14.403250000000002,3.04275
540,Iran,1970,91.787,27.907,28513872.0,0.62,0.447,192659386568.0,0.22,14.403250000000002,3.04275
541,Iraq,1970,23.884,32.023,9917978.0,0.16,0.351,52114082656.0,0.21,14.403250000000002,3.04275
542,Ireland,1970,19.394,15.248,2908430.0,0.13,0.253,29149938100.0,0.49,14.403250000000002,3.04275
543,Israel,1970,16.559,25.09,2813746.0,0.11,0.249,37492043242.0,0.45,14.403250000000002,3.04275
544,Italy,1970,296.365,19.881,53518966.0,1.99,0.32,831317761200.0,0.48,14.403250000000002,3.04275
545,Jamaica,1970,4.989,27.498,1875637.0,0.03,0.391,11925133245.0,0.38,14.403250000000002,3.04275
546,Japan,1970,767.963,18.236,104929260.0,5.15,0.283,1615677561932.0,0.52,14.403250000000002,3.04275
547,Jordan,1970,1.556,26.555,1721315.0,0.01,0.37,5738297462.0,0.27,14.403250000000002,3.04275
548,Kenya,1970,3.078,23.377,11301394.0,0.02,0.277,16398391356.0,0.17,14.403250000000002,3.04275
549,Kuwait,1970,25.021,34.271,744444.0,0.17,0.454,36573030354.0,0.37,14.403250000000002,3.04275
550,Laos,1970,0.572,26.864,2688429.0,0.0,0.221,2418250000.0,0.13,14.403250000000002,3.04275
551,Lebanon,1970,3.941,23.656,2297436.0,0.03,0.249,16881377436.0,0.33,14.403250000000002,3.04275
552,Liberia,1970,1.451,25.572,1400730.0,0.01,0.346,6226429000.0,0.14,14.403250000000002,3.04275
553,Libya,1970,32.305,29.654,2133527.0,0.22,0.433,13176476742.0,0.25,14.403250000000002,3.04275
554,Madagascar,1970,0.971,20.295,6576305.0,0.01,0.393,13220068376.0,0.17,14.403250000000002,3.04275
555,Malawi,1970,0.454,18.584,4703783.0,0.0,0.203,3214248206.0,0.12,14.403250000000002,3.04275
556,Malaysia,1970,14.586,26.593000000000004,10804131.0,0.1,0.325,36156455824.0,0.27,14.403250000000002,3.04275
557,Mali,1970,0.202,34.423,5949042.0,0.0,0.458,5180024710.0,0.08,14.403250000000002,3.04275
558,Mauritania,1970,0.429,33.724000000000004,1146776.0,0.0,0.346,1995372000.0,0.11,14.403250000000002,3.04275
559,Mauritius,1970,0.498,21.741,826451.0,0.0,0.351,3867180282.0,0.3,14.403250000000002,3.04275
560,Mexico,1970,113.951,24.782,51493565.0,0.76,0.269,362723660934.0,0.32,14.403250000000002,3.04275
561,Morocco,1970,7.282,22.298,16004732.0,0.05,0.481,40982292400.0,0.16,14.403250000000002,3.04275
562,Mozambique,1970,2.981,20.441,9022747.0,0.02,0.274,25847553750.0,0.12,14.403250000000002,3.04275
563,Nepal,1970,0.227,20.767,12074628.0,0.0,0.369,12574545000.0,0.1,14.403250000000002,3.04275
564,Netherlands,1970,141.803,17.299,13001941.0,0.95,0.312,248591790125.0,0.54,14.403250000000002,3.04275
565,New Zealand,1970,14.18,6.81,2818391.0,0.1,0.217,50438271750.0,0.54,14.403250000000002,3.04275
566,Nicaragua,1970,1.403,26.885,2406523.0,0.01,0.489,9162539000.0,0.23,14.403250000000002,3.04275
567,Niger,1970,0.216,33.488,4510645.0,0.0,0.67,6471749837.0,0.07,14.403250000000002,3.04275
568,Nigeria,1970,21.52,28.31900000000001,55982142.0,0.14,0.291,96941350928.0,0.12,14.403250000000002,3.04275
569,Norway,1970,27.979,10.532,3876049.0,0.19,0.352,61972260438.0,0.55,14.403250000000002,3.04275
570,Oman,1970,0.234,33.011,723842.0,0.0,0.565,4714814016.0,0.15,14.403250000000002,3.04275
571,Pakistan,1970,20.504,30.343000000000004,58142062.0,0.14,0.305,99675947388.0,0.15,14.403250000000002,3.04275
572,Panama,1970,2.201,26.929,1519286.0,0.01,0.289,7855561000.0,0.35,14.403250000000002,3.04275
573,Paraguay,1970,0.743,18.96,2474757.0,0.0,0.371,6996917625.0,0.31,14.403250000000002,3.04275
574,Peru,1970,17.766,19.235,13459789.0,0.12,0.293,81043370400.0,0.29,14.403250000000002,3.04275
575,Philippines,1970,24.751,27.732,35803591.0,0.17,0.214,108553593152.0,0.31,14.403250000000002,3.04275
576,Poland,1970,304.143,16.858,32639262.0,2.04,0.245,229568508000.0,0.46,14.403250000000002,3.04275
577,Portugal,1970,15.236,18.494,8651334.0,0.1,0.328,78901600800.0,0.37,14.403250000000002,3.04275
578,Puerto Rico,1970,,26.805,2631700.0,,0.32,27538474000.0,0.48,14.403250000000002,3.04275
579,Qatar,1970,7.561,33.674,109521.0,0.05,0.97,5986595142.0,0.34,14.403250000000002,3.04275
580,Romania,1970,119.981,17.750999999999994,20548912.0,0.81,0.357,65982778578.0,0.4,14.403250000000002,3.04275
581,Russia,1970,1437.871,11.279000000000002,130148650.0,9.65,0.239,1202686725384.0,0.5,14.403250000000002,3.04275
582,Rwanda,1970,0.059,19.135,3757351.0,0.0,0.57,5039381627.0,0.14,14.403250000000002,3.04275
583,Saudi Arabia,1970,45.251,33.368,5836388.0,0.3,0.752,74243296803.0,0.2,14.403250000000002,3.04275
584,Senegal,1970,1.307,31.149,4257508.0,0.01,0.368,9875016717.0,0.12,14.403250000000002,3.04275
585,Serbia,1970,30.962,18.712,8119865.0,0.21,0.354,47222576775.0,0.39,14.403250000000002,3.04275
586,Sierra Leone,1970,0.857,26.527,2744890.0,0.01,0.403,4331317000.0,0.09,14.403250000000002,3.04275
587,Singapore,1970,17.833,27.486,2072284.0,0.12,0.292,13795471550.0,0.36,14.403250000000002,3.04275
588,South Africa,1970,149.618,11.136,22069783.0,1.0,0.214,146627010608.0,0.28,14.403250000000002,3.04275
589,South Korea,1970,53.716,19.794,32195679.0,0.36,0.302,95910762159.3,0.32,14.403250000000002,3.04275
590,Spain,1970,116.766,19.471,33883749.0,0.78,0.316,322199191769.0,0.44,14.403250000000002,3.04275
591,Sri Lanka,1970,3.593,28.39,12485736.0,0.02,0.359,30146122080.0,0.31,14.403250000000002,3.04275
592,Sudan,1970,4.447,30.531,10281695.0,0.03,0.45,15330155478.1,0.13,14.403250000000002,3.04275
593,Sweden,1970,92.287,14.822,8054909.0,0.62,0.311,163023567000.0,0.55,14.403250000000002,3.04275
594,Switzerland,1970,40.244,15.492,6150848.0,0.27,0.27,147142841610.6,0.51,14.403250000000002,3.04275
595,Syria,1970,6.65,26.863000000000003,6350544.0,0.04,0.322,35314193079.0,0.24,14.403250000000002,3.04275
596,Taiwan,1970,28.734,26.268,14924462.0,0.19,0.293,58767408000.0,0.39,14.403250000000002,3.04275
597,Tanzania,1970,1.765,20.888,13535487.0,0.01,0.226,12495216445.0,0.13,14.403250000000002,3.04275
598,Thailand,1970,15.353,27.633000000000003,36884525.0,0.1,0.244,100145351700.0,0.28,14.403250000000002,3.04275
599,Togo,1970,0.275,27.06,2115522.0,0.0,0.263,3203284000.0,0.14,14.403250000000002,3.04275
600,Tunisia,1970,3.739,27.467,5063805.0,0.03,0.348,14847201824.0,0.21,14.403250000000002,3.04275
601,Turkey,1970,42.579,19.703000000000007,34876296.0,0.29,0.225,157265364036.0,0.26,14.403250000000002,3.04275
602,Uganda,1970,1.443,22.502,9405606.0,0.01,0.627,13464733406.0,0.15,14.403250000000002,3.04275
603,United Arab Emirates,1970,15.235,34.545,234512.0,0.1,0.6729999999999999,9759055815.0,0.29,14.403250000000002,3.04275
604,United Kingdom,1970,652.577,14.347,55573455.0,4.38,0.266,954756384000.0,0.53,14.403250000000002,3.04275
605,United States,1970,4339.471,18.803,209513340.0,29.13,0.237,4912635816000.0,0.55,14.403250000000002,3.04275
606,Uruguay,1970,5.736,11.392,2809799.0,0.04,0.446,22673981770.0,0.44,14.403250000000002,3.04275
607,Venezuela,1970,74.489,24.98,11396396.0,0.5,0.221,164479321913.0,0.36,14.403250000000002,3.04275
608,Vietnam,1970,28.173,27.0,43404802.0,0.19,0.262,49899864272.0,0.23,14.403250000000002,3.04275
609,Zambia,1970,3.766,17.991,4179062.0,0.03,0.246,7270256520.0,0.19,14.403250000000002,3.04275
610,Zimbabwe,1970,8.154,16.756,5289312.0,0.05,0.299,11266197048.0,0.2,14.403250000000002,3.04275
611,Afghanistan,1975,2.121,24.978,12689164.0,0.01,0.409,15177768000.0,0.09,14.383666666666665,3.121083333333333
612,Albania,1975,4.591,19.214,2411733.0,0.03,0.204,8761643092.0,0.37,14.383666666666665,3.121083333333333
613,Algeria,1975,32.001,30.849,16607705.0,0.19,0.289,64883813040.0,0.22,14.383666666666665,3.121083333333333
614,Angola,1975,4.409,18.832,7023994.0,0.03,0.332,10064128050.0,0.11,14.383666666666665,3.121083333333333
615,Argentina,1975,94.845,10.042,25865775.0,0.56,0.244,337656018480.0,0.44,14.383666666666665,3.121083333333333
616,Australia,1975,175.717,14.918,13773290.0,1.03,0.239,289103000200.0,0.56,14.383666666666665,3.121083333333333
617,Austria,1975,54.214,13.02,7637686.0,0.32,0.283,140694755292.0,0.54,14.383666666666665,3.121083333333333
618,Bahamas,1975,8.246,27.836,188895.0,0.05,0.235,,0.43,14.383666666666665,3.121083333333333
619,Bahrain,1975,5.749,33.633,266540.0,0.03,0.496,1617948828.0,0.33,14.383666666666665,3.121083333333333
620,Bangladesh,1975,4.857,28.676,70066310.0,0.03,0.426,64196587005.0,0.14,14.383666666666665,3.121083333333333
621,Barbados,1975,0.568,27.561,246158.0,0.0,0.262,2426775000.0,0.48,14.383666666666665,3.121083333333333
622,Belgium,1975,121.823,15.58,9771582.0,0.71,0.275,194240678800.0,0.56,14.383666666666665,3.121083333333333
623,Belize,1975,0.176,28.111,133264.0,0.0,0.413,,0.33,14.383666666666665,3.121083333333333
624,Benin,1975,0.443,26.985,3265167.0,0.0,0.244,4761257360.0,0.12,14.383666666666665,3.121083333333333
625,Bolivia,1975,4.055,18.57,5001413.0,0.02,0.374,19706407160.0,0.23,14.383666666666665,3.121083333333333
626,Botswana,1975,0.187,15.375,741346.0,0.0,0.451,1206259792.0,0.21,14.383666666666665,3.121083333333333
627,Brazil,1975,150.685,23.535,107216209.0,0.88,0.311,716641578000.0,0.32,14.383666666666665,3.121083333333333
628,Bulgaria,1975,72.922,19.152,8738386.0,0.43,0.139,81059296890.0,0.46,14.383666666666665,3.121083333333333
629,Burkina Faso,1975,0.22,29.771,6154554.0,0.0,0.33,6059268096.0,0.08,14.383666666666665,3.121083333333333
630,Burundi,1975,0.077,19.791,3700879.0,0.0,0.274,3246179964.0,0.11,14.383666666666665,3.121083333333333
631,Cambodia,1975,0.048,27.123,7524457.0,0.0,0.181,6929422900.0,0.11,14.383666666666665,3.121083333333333
632,Cameroon,1975,1.161,24.286,7451057.0,0.01,0.242,12613605810.0,0.17,14.383666666666665,3.121083333333333
633,Canada,1975,396.787,10.761,23059266.0,2.33,0.21,529610734800.0,0.59,14.383666666666665,3.121083333333333
634,Cape Verde,1975,0.077,24.263,270240.0,0.0,1.171,346360000.0,0.21,14.383666666666665,3.121083333333333
635,Central African Republic,1975,0.103,25.33,1958367.0,0.0,0.272,2722734000.0,0.13,14.383666666666665,3.121083333333333
636,Chad,1975,0.183,30.944000000000003,4088568.0,0.0,0.318,3945146072.0,0.09,14.383666666666665,3.121083333333333
637,Chile,1975,22.945,6.132999999999999,10592310.0,0.13,0.343,69003129202.0,0.41,14.383666666666665,3.121083333333333
638,China,1975,1183.215,17.979,926240889.0,6.94,0.206,1460733630000.0,0.28,14.383666666666665,3.121083333333333
639,Colombia,1975,35.809,24.379,24065502.0,0.21,0.253,139249500000.0,0.33,14.383666666666665,3.121083333333333
640,Congo,1975,1.099,24.099,1536658.0,0.01,0.278,3990269250.0,0.21,14.383666666666665,3.121083333333333
641,Costa Rica,1975,2.036,25.957,2094186.0,0.01,0.343,13955001060.0,0.41,14.383666666666665,3.121083333333333
642,Cuba,1975,27.039,27.5,9446441.0,0.16,0.277,34668371000.0,0.42,14.383666666666665,3.121083333333333
643,Cyprus,1975,1.991,23.994,649753.0,0.01,0.532,3374844000.0,0.4,14.383666666666665,3.121083333333333
644,Denmark,1975,55.745,-4.776,5062731.0,0.33,0.7140000000000001,109859702032.0,0.56,14.383666666666665,3.121083333333333
645,Djibouti,1975,0.198,32.336,224177.0,0.0,1.273,1064857000.0,0.13,14.383666666666665,3.121083333333333
646,Dominican Republic,1975,6.333,27.129,5144632.0,0.04,0.305,16988199135.0,0.29,14.383666666666665,3.121083333333333
647,Ecuador,1975,7.355,21.277,6994331.0,0.04,0.286,37890542772.0,0.32,14.383666666666665,3.121083333333333
648,Egypt,1975,31.06,28.978,38549133.0,0.18,0.364,83697410235.0,0.2,14.383666666666665,3.121083333333333
649,El Salvador,1975,2.105,26.034,4154689.0,0.01,0.29,16413573410.0,0.27,14.383666666666665,3.121083333333333
650,Equatorial Guinea,1975,0.062,24.23,255808.0,0.0,0.158,656040000.0,0.18,14.383666666666665,3.121083333333333
651,Eritrea,1975,,29.065,1505438.0,,0.326,,0.13,14.383666666666665,3.121083333333333
652,Ethiopia,1975,1.209,23.437,32566855.0,0.01,0.344,32856117868.8,0.09,14.383666666666665,3.121083333333333
653,Finland,1975,46.026,11.363,4718744.0,0.27,0.29,85922513043.0,0.53,14.383666666666665,3.121083333333333
654,France,1975,480.182,17.250999999999998,52688575.0,2.82,0.284,1114332615000.0,0.55,14.383666666666665,3.121083333333333
655,Gabon,1975,5.364,23.546000000000006,647538.0,0.03,0.283,6464648460.0,0.24,14.383666666666665,3.121083333333333
656,Gambia,1975,0.099,30.066,539985.0,0.0,0.667,847302000.0,0.1,14.383666666666665,3.121083333333333
657,Germany,1975,1002.447,14.973,78856031.0,5.88,0.249,1510149863725.0,0.55,14.383666666666665,3.121083333333333
658,Ghana,1975,2.742,26.246,9985946.0,0.02,0.203,20114309656.0,0.19,14.383666666666665,3.121083333333333
659,Greece,1975,38.67,21.414,9014091.0,0.23,0.177,111353885478.0,0.46,14.383666666666665,3.121083333333333
660,Guatemala,1975,3.52,25.274,6433723.0,0.02,0.34,32144490000.0,0.22,14.383666666666665,3.121083333333333
661,Guinea,1975,0.843,26.008000000000003,4491248.0,0.0,0.248,3360288456.0,0.1,14.383666666666665,3.121083333333333
662,Guyana,1975,1.825,25.396,745847.0,0.01,0.206,,0.35,14.383666666666665,3.121083333333333
663,Haiti,1975,0.483,27.946,5094570.0,0.0,0.251,8566138000.0,0.16,14.383666666666665,3.121083333333333
664,Honduras,1975,1.661,26.573,3153252.0,0.01,0.2,7899072524.0,0.23,14.383666666666665,3.121083333333333
665,Hong Kong,1975,11.008,27.416,4208963.0,0.06,0.269,47881245212.864,0.41,14.383666666666665,3.121083333333333
666,Hungary,1975,75.248,18.366,10526777.0,0.44,0.172,97450930460.0,0.46,14.383666666666665,3.121083333333333
667,India,1975,234.439,28.879,623102900.0,1.38,0.273,868010000000.0,0.18,14.383666666666665,3.121083333333333
