,country,year,co2,AverageTemperature,population,share_global_co2,AverageTemperatureUncertainty,gdp,HDI,LandMaxTemperature,LandMinTemperature
56,Jordan,1950,0.172,26.081,481319.0,0.0,0.597,1487884354.0,0.13,14.17375,2.578583333333333
57,Kenya,1950,0.909,23.048,6076757.0,0.02,0.74,6353788992.0,0.11,14.17375,2.578583333333333
58,Kuwait,1950,0.385,33.883,153103.0,0.01,0.764,6664091994.0,0.19,14.17375,2.578583333333333
59,Lebanon,1950,1.512,23.017,1334617.0,0.03,0.397,5281524160.0,0.23,14.17375,2.578583333333333
60,Liberia,1950,0.048,25.203000000000003,930022.0,0.0,0.349,2596424000.0,0.08,14.17375,2.578583333333333
61,Libya,1950,0.143,29.196,1124519.0,0.0,0.765,596009100.0,0.11,14.17375,2.578583333333333
62,Madagascar,1950,0.304,19.739,4083548.0,0.01,0.4320000000000001,7004582492.0,0.12,14.17375,2.578583333333333
63,Malawi,1950,0.235,17.489,2953871.0,0.0,0.152,1453365600.0,0.07,14.17375,2.578583333333333
64,Malaysia,1950,3.655,26.464,6109902.0,0.06,0.204,15987990515.0,0.18,14.17375,2.578583333333333
65,Mauritius,1950,0.202,21.963,493258.0,0.0,0.887,1897166340.0,0.21,14.17375,2.578583333333333
66,Mexico,1950,30.508,25.1,27944671.0,0.51,0.193,99982981800.0,0.21,14.17375,2.578583333333333
67,Morocco,1950,2.56,24.078000000000007,8985986.0,0.04,0.484,21667307496.0,0.1,14.17375,2.578583333333333
68,Mozambique,1950,0.901,19.744,5958982.0,0.02,0.291,11288300058.0,0.06,14.17375,2.578583333333333
69,Nepal,1950,0.026,21.074,8483322.0,0.0,0.265,7209980000.0,0.04,14.17375,2.578583333333333
70,Netherlands,1950,51.286,17.495,10042051.0,0.85,0.204,96665091066.0,0.48,14.17375,2.578583333333333
71,New Zealand,1950,8.569,6.155,1908011.0,0.14,0.375,25722110490.0,0.49,14.17375,2.578583333333333
72,Nicaragua,1950,0.19,26.158,1294994.0,0.0,0.255,2816370000.0,0.15,14.17375,2.578583333333333
73,Nigeria,1950,2.257,28.25500000000001,37859750.0,0.04,0.358,38156326800.0,0.08,14.17375,2.578583333333333
74,Norway,1950,8.432,8.469000000000001,3265274.0,0.14,0.4,28259665530.0,0.46,14.17375,2.578583333333333
75,Pakistan,1950,5.355,30.0,37542370.0,0.09,0.27,40434437800.0,0.09,14.17375,2.578583333333333
76,Panama,1950,0.524,26.061,859658.0,0.01,0.274,2301261000.0,0.25,14.17375,2.578583333333333
77,Paraguay,1950,0.062,18.969,1473241.0,0.0,0.478,3528324579.0,0.26,14.17375,2.578583333333333
78,Peru,1950,4.542,18.366,7777452.0,0.08,0.392,28079967500.0,0.19,14.17375,2.578583333333333
79,Philippines,1950,3.604,27.227,18580483.0,0.06,0.504,36049936384.0,0.22,14.17375,2.578583333333333
80,Poland,1950,112.123,17.137999999999998,24824007.0,1.87,0.307,96813600000.0,0.34,14.17375,2.578583333333333
81,Portugal,1950,5.618,19.914,8416971.0,0.09,0.269,28072143750.0,0.23,14.17375,2.578583333333333
82,Puerto Rico,1950,,26.423,2218005.0,,0.293,7576688000.0,0.31,14.17375,2.578583333333333
83,Qatar,1950,0.352,33.7,25006.0,0.01,0.8,1215792036.0,0.16,14.17375,2.578583333333333
84,Romania,1950,19.417,18.381,16236289.0,0.32,0.196,13440264000.0,0.26,14.17375,2.578583333333333
85,Russia,1950,414.228,11.514,102798649.0,6.9,0.231,,0.35,14.17375,2.578583333333333
86,Rwanda,1950,0.017,19.193,2186183.0,0.0,0.441,2488223700.0,0.08,14.17375,2.578583333333333
87,Saudi Arabia,1950,5.141,32.883,3121340.0,0.09,0.365,13725452356.0,0.06,14.17375,2.578583333333333
88,Serbia,1950,7.746,19.842,6732252.0,0.13,0.235,,0.26,14.17375,2.578583333333333
89,Sierra Leone,1950,0.158,26.148000000000003,2041201.0,0.0,0.322,1882474000.0,0.06,14.17375,2.578583333333333
90,Singapore,1950,1.914,27.367,1022095.0,0.03,0.216,3650941200.0,0.24,14.17375,2.578583333333333
91,South Africa,1950,61.031,12.103,13628434.0,1.02,0.292,54940789440.0,0.19,14.17375,2.578583333333333
92,South Korea,1950,2.184,20.252,19211387.0,0.04,0.403,20805930562.465,0.19,14.17375,2.578583333333333
93,Spain,1950,33.035,20.751,28069734.0,0.55,0.272,97210103832.0,0.3,14.17375,2.578583333333333
94,Sri Lanka,1950,1.627,27.828000000000003,7971098.0,0.03,0.194,15043594709.0,0.24,14.17375,2.578583333333333
95,Sudan,1950,0.504,30.309,5733789.0,0.01,0.4270000000000001,8281310994.11,0.07,14.17375,2.578583333333333
